input,target
"Simplify the phrase ""for the purposes of"" in the sentence: The Recorder rejected the application on the basis that the defendant who was making it failed to establish for the purposes of s 1001b that Tarab's bad character was of substantial probative value in the case against Ajaz.",for
"Simplify the phrase ""as to"" in the sentence: This perhaps distracted her from addressing what was said to be Tarab's ""propensity for violence"", and whether, as was inevitably the case, that his credibility, too, was impugned by conviction after not guilty pleas to three different offences.",about
"Simplify the phrase ""as in"" in the sentence: This perhaps distracted her from addressing what was said to be Tarab's ""propensity for violence"", and whether, as was inevitably the case, that his credibility, too, was impugned by conviction after not guilty pleas to three different offences.",meaning
"Simplify the phrase ""on behalf of"" in the sentence: After this ruling, an application was then specifically made on behalf of Shabaz to introduce the full story of Tarab's previous history.",for
"Simplify the phrase ""on behalf of"" in the sentence: Complaint was made on behalf of Abdul that the full details of both cautions and the subsequent breach of the peace should also have been admitted.",for
"Simplify the phrase ""on behalf of"" in the sentence: Apart from some generalised unspecific complaint, Mr Cifonelli did not identify any particular prejudice sustained by Ajaz which was not cured by the successful application on behalf of Shabaz.",for
"Simplify the phrase ""in relation to"" in the sentence: She also gave a full good character direction in relation to Ajaz covering credit and propensity.",about
"Simplify the phrase ""in the context of"" in the sentence: That said, in our judgment, in the context of this case, the deficiencies we have identified do not undermine the safety of the convictions.",when
"Simplify the phrase ""as in"" in the sentence: We now come to the final, unconnected complaint, that the judge's direction on ""selfdefence of another"" was inadequate.",meaning
"Simplify the phrase ""on behalf of"" in the sentence: When the summing up was virtually completed, in the presence of the jury, counsel on behalf of Abdul suggested that the Recorder had dealt with ""self defence of ones' self"" but not with what he described as ""self defence of another"".",for
"Simplify the phrase ""as to"" in the sentence: She then went on to indicate that her directions about self defence applied to Abdul and Ajaz whose only involvement was to defend Shabaz and separate him and Tarab.",about
"Simplify the phrase ""in accordance with"" in the sentence: It was never seriously suggested, however, that the police should not be able to make use of those technologies, so long as their use was in accordance with the law.",according to
"Simplify the phrase ""as in"" in the sentence: It was never seriously suggested, however, that the police should not be able to make use of those technologies, so long as their use was in accordance with the law.",meaning
"Simplify the phrase ""in relation to"" in the sentence: Specific legislative measures were brought into effect in relation to the forensic use of fingerprints, DNA and CCTV see e.g. the Police and Criminal Evidence Act 1984 and the Protection of Freedoms Act 2012.",about
"Simplify the phrase ""as a matter of"" in the sentence: But as a matter of policy it is a high priority that police forces should expand the use of such evidence where possible and practicable.""",about
"Simplify the phrase ""in relation to"" in the sentence: That concern and vigilance are reflected in the jurisprudence of the European Court of Human Rights in relation to the collection, storage and use by the state of personal data.",about
"Simplify the phrase ""as to"" in the sentence: Put very shortly, AFR Locate involves the deployment of surveillance cameras to capture digital images of members of the public, which are then processed and compared with digital images of persons on watchlists compiled by SWP for the purpose of the deployment.",about
"Simplify the phrase ""for the purpose of"" in the sentence: Put very shortly, AFR Locate involves the deployment of surveillance cameras to capture digital images of members of the public, which are then processed and compared with digital images of persons on watchlists compiled by SWP for the purpose of the deployment.",for
"Simplify the phrase ""in relation to"" in the sentence: The debate in these proceedings has been about the adequacy of the current legal framework in relation to AFR Locate.",about
"Simplify the phrase ""as in"" in the sentence: The Claimant states that he did not see signage and was given no other warning indicating that AFR was in use prior to his being in close proximity to AFRequipped vans.",meaning
"Simplify the phrase ""as in"" in the sentence: Prior to seeing the van, he was not aware that AFR was in use.",meaning
"Simplify the phrase ""as in"" in the sentence: If this data was processed, then the technology would have identified that the Claimant was not a person of interest who was included on the watchlist for either of these deployments.",meaning
"Simplify the phrase ""as a result of"" in the sentence: SWP does not hold any of his personal data except as a result of these proceedings.",because
"Simplify the phrase ""for the purposes of"" in the sentence: Claimant's standing, and grounds of challenge Notwithstanding this, SWP does not seek to challenge the Claimant's standing to bring these judicial review proceedings; and SWP does not dispute that the Claimant is a victim for the purposes of section 7 of the Human Rights Act 1998.",for
"Simplify the phrase ""as to"" in the sentence: As to the Convention Rights Claim, the Claimant contends that using AFR Locate is an interference with his rights under ECHR article 81; and that, for the purposes of Article 82 the interference is neither ""in accordance with the law"" nor ""necessary"" or ""proportionate"".",about
"Simplify the phrase ""for the purposes of"" in the sentence: As to the Convention Rights Claim, the Claimant contends that using AFR Locate is an interference with his rights under ECHR article 81; and that, for the purposes of Article 82 the interference is neither ""in accordance with the law"" nor ""necessary"" or ""proportionate"".",for
"Simplify the phrase ""in accordance with"" in the sentence: As to the Convention Rights Claim, the Claimant contends that using AFR Locate is an interference with his rights under ECHR article 81; and that, for the purposes of Article 82 the interference is neither ""in accordance with the law"" nor ""necessary"" or ""proportionate"".",according to
"Simplify the phrase ""in accordance with"" in the sentence: The claim under the DPA 1998 is that by using AFR Locate on Queen Street on 21 st December 2017, and at the Motorpoint Arena on 27th March 2018, SWP acted contrary to section 44 of that Act by failing to act in accordance with the data protection principles.",according to
"Simplify the phrase ""in respect of"" in the sentence: The Public Sector Equality Duty Claim under section 1491 of the Equality Act 2010 is that it is evident from the equality impact assessment document created by SWP in April 2017, in respect of its then proposed use of AFR Locate, that it failed to have regard to the possibility that use of the AFR software would produce a disproportionately higher rate of false positive matches for those who are women or from minority ethnic groups, such that use of AFR Locate would indirectly discriminate against those groups.",about
"Simplify the phrase ""as in"" in the sentence: This case is concerned with the latter, i.e. the use of AFR cameras in real time, in a ""live"" context.",meaning
"Simplify the phrase ""for the purpose of"" in the sentence: That information is then compared with facial biometric information of persons on a watchlist prepared for the purpose of that specific deployment.",for
"Simplify the phrase ""in relation to"" in the sentence: In relation to persons placed on a watchlist on suspicion of having committed an offence and persons wanted on a warrant, there is subject to the overarching requirements of proportionality and necessity no minimum threshold of seriousness for the types of offences the person committed or is suspected of committing.",about
"Simplify the phrase ""for the purposes of"" in the sentence: The watchlist images are ""enrolled"" into the AFR system, meaning that a biometric template is taken from the images which will then be used for the purposes of undertaking algorithmic comparisons with the facial biometrics of members of the public captured on camera.",for
"Simplify the phrase ""as in"" in the sentence: If during a deployment of AFR Locate the software identifies a possible match between a face captured on the CCTV and an image on the watchlist, the two images are reviewed by an AFR operator ""the system operator"", who is a police officer to establish whether he believes that a match has in fact been made.",meaning
"Simplify the phrase ""as to"" in the sentence: If the person identified is on a 'red' watchlist, the system operator may be given instructions to contact the person responsible for the decision that that person should be placed on the watchlist and to obtain instructions as to what action should be taken.",about
"Simplify the phrase ""as in"" in the sentence: Data retention If no match false or positive is made as in the overwhelming majority of cases then AFR Locate does not retain the facial biometrics or image of persons whose faces are scanned.",meaning
"Simplify the phrase ""in accordance with"" in the sentence: The CCTV feed is retained for 31 days in accordance with the standard CCTV retention period.",according to
"Simplify the phrase ""as to"" in the sentence: Public awareness when AFR Locate is used When AFR is deployed, SWP take steps to inform members of the public about AFR and as to its use at the event or in the area which they may be attending or present.",about
"Simplify the phrase ""out of"" in the sentence: They include as follows: i prior to each AFR deployment, utilising Facebook and Twitter to advertise the deployment and its location and invite engagement with officers who are deploying the technology; ii displaying large A2size ""Fair Processing Notices"" on the AFRequipped police vehicles on site and at approximately a 100 metre radius of the AFR cameras; and iii handing out of postcardsized notices to members of the public in the vicinity of each AFR deployment and to every person that is spoken to as a result of an AFR intervention.",from
"Simplify the phrase ""as a result of"" in the sentence: They include as follows: i prior to each AFR deployment, utilising Facebook and Twitter to advertise the deployment and its location and invite engagement with officers who are deploying the technology; ii displaying large A2size ""Fair Processing Notices"" on the AFRequipped police vehicles on site and at approximately a 100 metre radius of the AFR cameras; and iii handing out of postcardsized notices to members of the public in the vicinity of each AFR deployment and to every person that is spoken to as a result of an AFR intervention.",because
"Simplify the phrase ""as to"" in the sentence: Biometric data The use of AFR technology involves the collection, processing and storage of a wide range of information, including i facial images, ii facial features i.e. biometric data, iii metadata, including time and location, associated with the same and iv information as to matches with persons on a watchlist.",about
"Simplify the phrase ""in accordance with"" in the sentence: 2. There shall be no interference by a public authority with the exercise of this right except such as is in accordance with the law and is necessary in a democratic society in the interests of national security, public safety or the economic wellbeing of the country, for the prevention of disorder or crime, for the protection of health or morals, or for the protection of the rights and freedoms of others.""",according to
"Simplify the phrase ""on behalf of"" in the sentence: Submissions On behalf of the Claimant, Mr Squires submitted that use of AFR entailed interference with the Claimant's Article 8 rights.",for
"Simplify the phrase ""as in"" in the sentence: The Claimant was in a public place engaged in lawful activities, and was not suspected of any wrongdoing.",meaning
"Simplify the phrase ""on behalf of"" in the sentence: On behalf of SWP, Mr Johnson submitted that the Claimant could not establish any interference with his rights under Article 81 for essentially four reasons.",for
"Simplify the phrase ""as to"" in the sentence: As to the first point, even if the pragmatic concession we have referred to had not been made, we would have concluded that the Claimant has proved that he was within reasonable proximity of the CCTV cameras on the days and at location in question when AFR technology was deployed by SWP, namely on 21 st December 2017 at Queen Street and on 27th March 2018 at the Arms Fair.",about
"Simplify the phrase ""as to"" in the sentence: Notwithstanding that the CCTV footage for each occasion was deleted well before these proceedings were commenced such footage is routinely deleted after 31 days, the Claimant's physical proximity to the location of the cameras on both days is sufficient to give rise to a reasonable apprehension that his image may have been captured and processed on one or both occasions such as to entitle him to claim a violation of his Article 8 rights, either as an individual present himself or as a member of a class of people who risked being directly affected by the SWP's use of AFR on either of those occasions",about
"Simplify the phrase ""in the context of"" in the sentence: In that case, and in the context of police activity, he suggested that where state actions complained of were ""expected and unsurprising"", it might well be that such actions might entail no breach of Article 81.",when
"Simplify the phrase ""as to"" in the sentence: Since there are occasions when people knowingly or intentionally involve themselves in activities which are or may be recorded or reported in a public manner, a person's reasonable expectation as to privacy may be a significant, although not necessarily conclusive, factor.",about
"Simplify the phrase ""in respect of"" in the sentence: We note in particular what the Court said in respect of fingerprints since they are clearly a source of significantly less personal data than a DNA sample.",about
"Simplify the phrase ""in the context of"" in the sentence: In the context of rejecting an argument that retention of fingerprints did not involve any interference with Article 81 rights because fingerprint analysis was an expert process, the Court said at 84: ""84.",when
"Simplify the phrase ""for the purposes of"" in the sentence: For the purposes of the Article 81 argument, the same reasoning applies to AFR technology.",for
"Simplify the phrase ""in the context of"" in the sentence: The Court of Justice of the European Union ""CJEU"" has also repeatedly emphasised that the right to protection of personal data is ""closely connected with the right to respect for private life"", and that ""the right to respect for private life with regard to the processing of personal data"" is founded on both Articles 7 and 8 of the Charter of Fundamental Rights of the European Union and extends to ""any information relating to an identified or identifiable individual"" C46810 and C46910 ASNEF v Administracin del Estado 2012 1 CMLR 48 at 41 42; see also C29112 Schwarz v Stadt Bochum 2014 2 CMLR 5 at 26 which concerned a person's refusal to provide his fingerprints in the context of obtaining a passport.",when
"Simplify the phrase ""in the context of"" in the sentence: In the context of the interception of communications, the Strasbourg Court has treated the initial gathering of the information in question, its retention, and any subsequent use, as discrete interferences with Article 8 see Amann v Switzerland 2000 30 EHRR 843 GC at 48 and 69.",when
"Simplify the phrase ""in the context of"" in the sentence: The Surveillance Camera Commissioner's AFR Guidance states that Article 8 is a ""fundamental consideration"" in the context of the ""overt operation of surveillance camera systems""; and the ""use of AFR in crowded places and selected sites will significantly enhance the capabilities of a surveillance camera system to intrude and gather private information of a citizen"" paragraphs 2.1 2.2.",when
"Simplify the phrase ""in accordance with"" in the sentence: 2 Is the SWP's use of AFR in accordance with the law?",according to
"Simplify the phrase ""for the purposes of"" in the sentence: The Claimant's primary argument on his Article 8 case was that the use of AFR Locate by the SWP is not ""in accordance with the law"" for the purposes of Article 82.",for
"Simplify the phrase ""in accordance with"" in the sentence: The Claimant's primary argument on his Article 8 case was that the use of AFR Locate by the SWP is not ""in accordance with the law"" for the purposes of Article 82.",according to
"Simplify the phrase ""as a matter of"" in the sentence: Mr Squires QC's submission was both to the effect: a that there is no legal basis for the use of AFR Locate, such that SWP does not, as a matter of law, have power to deploy it or for that matter, to make any other use of AFR technology; and b that even if SWP's use of AFR Locate is not ultra vires, any interference with Article 81 rights is not subject to a sufficient legal framework such that it is capable of being justified under Article 82.",about
"Simplify the phrase ""in accordance with"" in the sentence: His case is that absent comparable provision for AFR technology, its use is not in accordance with the law.",according to
"Simplify the phrase ""as to"" in the sentence: If this requirement under Article 82 is to be satisfied, there must be a legal framework that specifies: a when AFR Locate may be deployed, for example only when there is ""reasonable suspicion"" or a ""real possibility"" that persons who are sought may be in the location where AFR Locate is deployed; b where it may be deployed the Claimant suggested only at places such as airports, or at large public gatherings such as sporting events; c the classes of persons who may be on a watchlist the Claimant contends that watchlists should only include ""serious criminals at large""; d the sources from where images included in watchlists may be obtained; and e clear rules relating to biometric data obtained through use of AFR Locate for example as to how long it may be retained, and the purposes for which such information may or may not be used.",about
"Simplify the phrase ""in the context of"" in the sentence: In the context of the requirement under section 352 of the DPA 2018 that any processing of personal data must be ""based on law"", the Information Commissioner made a similar submission.",when
"Simplify the phrase ""as to"" in the sentence: Her overall submission was that both any use of AFR Locate, and any decision as to who should be included on a watchlist, needed to be the subject of ""independent authorisation"".",about
"Simplify the phrase ""as to"" in the sentence: He also drew attention to expressions of concern as to the adequacy of the legal framework governing the use of AFR technology by the police.",about
"Simplify the phrase ""as in"" in the sentence: Given that the Protection of Freedoms Act is not generic legislation covering all biometrics used by the police, the use by the police of these second generation biometrics which the Commissioner defined as including facial image matching is not currently governed by any specific legislation, other than general data protection legislation, and only by regulations drawn up by the police themselves such as the Management of Police Information principles MOPI drawn up by the College of Policing.",meaning
"Simplify the phrase ""for the purposes of"" in the sentence: Second , this general power of the police includes the use, retention and disclosure of imagery of individuals for the purposes of preventing and detecting crime.",for
"Simplify the phrase ""for the purpose of"" in the sentence: In R Wood v Commissioner of Police of the Metropolis 2010 1 WLR 123 , the police took and retained photographs of the claimant in the street for the purpose of gathering evidence about possible disorder and criminal conduct.",for
"Simplify the phrase ""in relation to"" in the sentence: In relation to the police's power to obtain and hold such information, Lord Sumption JSC held at 7: ""At common law the police have the power to obtain and store information for policing purposes, i.e. broadly speaking for the maintenance of public order and the prevention and detection of crime .",about
"Simplify the phrase ""for the purpose of"" in the sentence: emphasis added Third , the police may make reasonable use of a photograph of an individual for the purpose of the prevention and detection of crime, the investigation of alleged offences and the apprehension of suspects or persons unlawfully at large and may do so whether or not the photograph is of any person they seek to arrest or of a suspected accomplice or of anyone else.",for
"Simplify the phrase ""as in"" in the sentence: He described "" intrusive methods"" as including ""entry on private property or acts which would constitute an assault"".",meaning
"Simplify the phrase ""by way of"" in the sentence: So far as watchlists are concerned, the lists in issue before us have comprised imagery acquired by way of police photography of arrested persons.",for
"Simplify the phrase ""for the purposes of"" in the sentence: The Claimant was not on any SWP watchlist: for the purposes of section 7 of the Human Rights Act 1998, he is not a ""victim"" in this regard, and therefore can have no personal complaint about the watchlists.",for
"Simplify the phrase ""in relation to"" in the sentence: For these reasons, we consider the police's common law powers to be ""amply sufficient"" in relation to the use of AFR Locate.",about
"Simplify the phrase ""in accordance with"" in the sentence: The general principles applicable to the ""in accordance with the law"" standard are wellestablished: see generally per Lord Sumption in Catt , above, 1114; and in Re Gallagher 2019 2 WLR 509 at 16 31.",according to
"Simplify the phrase ""in accordance with"" in the sentence: Any exercise of power that is unrestrained by law is not ""in accordance with the law"".",according to
"Simplify the phrase ""as to"" in the sentence: The requirement for reasonable predictability does not mean that the law has to codify answers to every possible issue per Lord Sumption in Catt at 11.",about
